id	label
1261610362006315008	neutral
1350665463617896449	neutral
1143540137898307584	positive
1385457801506410496	neutral
1204045298479325184	neutral
1413116923341119489	neutral
1277218514760335360	neutral
1413178775072694274	positive
1248646674479599617	neutral
1452682426543534081	neutral
1383281331291840515	positive
1325323257474502656	neutral
1356819115806228481	negative
1266635006199267328	negative
1315963324111089665	negative
1338481814793408512	positive
1338357934095544325	neutral
1387055861470691338	neutral
1445616733008523265	negative
535154713793400832	negative
1475372751217049602	neutral
1299364129761669120	negative
1179599337661325312	neutral
1331432997204099072	negative
1232614979582513153	positive
1327452648392454145	positive
1497306035492560899	neutral
1431805687969976324	negative
1247386624125734912	neutral
1373636624668524544	negative
1359473191257743363	negative
1440648970062086159	neutral
1449762665824284677	negative
1330791539870625797	negative
1364845508817281025	negative
1401567597334728706	neutral
1350817986794418176	negative
1497242035568340996	neutral
1455126543328419841	positive
1369595667723603976	positive
206246836766375937	positive
1316730140081025024	negative
1330782673141284864	neutral
1418155786962825216	neutral
1319493151917101061	neutral
1458850855268990977	neutral
1304007431056502784	positive
946939667173089280	positive
1406820960422924292	neutral
1271711607375069184	neutral
1366289343384612870	neutral
1434077468369948673	neutral
1368814024964546564	positive
1480820420571852800	negative
1432021325522956288	neutral
1367095230239936515	positive
1472803984142639106	negative
1412997212133416963	neutral
1362815487814508546	neutral
1488187390040883200	positive
1465697922868080640	negative
1324039238078267392	neutral
743735583676063744	positive
1487995186886045701	neutral
1451973340936097795	negative
1045578025465769984	negative
1352883083553296387	negative
1431300483663085572	neutral
1357646339249606660	negative
1478666514504949760	neutral
1488210596948443136	positive
1342353159021232129	neutral
792193354817830912	negative
1387455088814292994	neutral
378922305185120256	neutral
1449483422221705218	neutral
1449029334656684037	positive
1357214471949721601	negative
1406897971606614016	neutral
1383241731320160262	neutral
1434881747947192324	positive
1348067810661068800	positive
1196646646680973312	neutral
1453604514787958788	negative
1461718462888222723	positive
1399203871658971139	positive
1304446099881488391	negative
1441034767915368449	neutral
1289058621850972161	negative
1389290106339565569	positive
1332569079111008257	positive
1263133698775568385	neutral
1428048074291650566	positive
1384935572318441475	neutral
1439055704959160321	negative
1485527037771087872	neutral
1492692862567256070	neutral
1404403470954758149	negative
1453983037868314625	negative
1409808820604334084	neutral
1212696421025144832	neutral
1424430544809385987	neutral
1417312023419887619	negative
1456465272865320961	positive
1398582136102428678	negative
1373123244967002112	negative
1341651492911030272	neutral
679895420533800960	positive
1453738103198216214	neutral
1344664454978437122	positive
1396414904072998916	neutral
1399582694141358083	neutral
1333762534050996224	negative
1454034015233601542	neutral
1172462618021285888	neutral
1378317873693736969	neutral
1221389199586185223	positive
1388168314900254721	neutral
1370069467053527041	neutral
1350669651336781824	neutral
1097451814075674624	positive
1200352363405611008	negative
1473542856547602435	neutral
1383341653004455942	positive
1370063769292828672	neutral
1434832726218080260	positive
1367096236059230211	positive
1417021903097585664	positive
1308089009344712704	neutral
1169812281166663680	neutral
1482224211041079297	positive
1418516924770648067	neutral
1343811445662777345	negative
1479723257410441216	positive
1476221015168466944	neutral
1429682568853524486	positive
1432217335809544193	positive
1293065630678020096	positive
1497505695712923649	neutral
842601394855018496	neutral
1409364022617509888	negative
1344173933558304770	neutral
1451092496751022080	neutral
1487755861665595392	neutral
1489954432037048322	neutral
1431478137674551296	positive
1292860641712185345	neutral
1492542459402162177	neutral
1387643309997248514	neutral
1420329355876593666	neutral
1437107274976153602	neutral
1473843650018754563	negative
1450349532403814402	negative
1440247771282350082	positive
1438468627712204800	positive
1444905913794670593	positive
1277817220211412998	neutral
654267299537420288	neutral
1476955805937135617	neutral
1270581495665700864	neutral
1134357878721040385	positive
